,country,region,lead_investors,company_link,img_src,company_name,post_money_value,total_eq_funding
131,France,Europe,Eurazeo,https://www.crunchbase.com/organization/doctolib,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Doctolib,$6B,$815M
132,China,Asia,SAIC Venture Capital,https://www.crunchbase.com/organization/gta-semiconductor,https://images.crunchbase.com/image/upload/t_cb-default-original/mm6x3bmkqpwp2ehf4k17,GTA Semiconductor,$6B,$3B
133,United States,North America,"Altimeter Capital, Tiger Global Management",https://www.crunchbase.com/organization/datarobot,https://images.crunchbase.com/image/upload/t_cb-default-original/rez98duqixbpcxhuy7tn,DataRobot,$6B,$1B
134,United States,North America,"Coatue, DST Global",https://www.crunchbase.com/organization/upgrade,https://images.crunchbase.com/image/upload/t_cb-default-original/tggnqyoolatkg0qitpwq,Upgrade,$6B,$587M
135,United States,North America,"Coatue, Tiger Global Management",https://www.crunchbase.com/organization/hinge-health,https://images.crunchbase.com/image/upload/t_cb-default-original/utkja0hatldbkxhpwxyd,Hinge Health,$6B,$826M
136,China,Asia,"Alibaba Group, Ant Group",https://www.crunchbase.com/organization/hellobike,https://images.crunchbase.com/image/upload/t_cb-default-original/qznggxiupmngsamanplg,Hello TransTech,$6B,$2B
137,United States,North America,"Altimeter Capital, Franklin Templeton",https://www.crunchbase.com/organization/benchling,https://images.crunchbase.com/image/upload/t_cb-default-original/chcs8sstven7icv2zkmb,Benchling,$6B,$412M
138,France,Europe,"DST Global, General Catalyst",https://www.crunchbase.com/organization/mistral-ai,https://images.crunchbase.com/image/upload/t_cb-default-original/ekqxvomyil4eprfmiu6j,Mistral AI,$6B,$1B
139,China,Asia,"Alibaba Group, Tencent",https://www.crunchbase.com/organization/cmc-inc,https://images.crunchbase.com/image/upload/t_cb-default-original/hlzoqveehag82b0wonwl,CMC,$6B,$2B
140,China,Asia,Vanke,https://www.crunchbase.com/organization/home-link,https://images.crunchbase.com/image/upload/t_cb-default-original/gl1byq9efcmc4ct6hm7g,Lianjia,$6B,$1B
141,China,Asia,China Integrated Circuit Industry Investment Fund (CICF),https://www.crunchbase.com/organization/changxin-new-bridge,https://images.crunchbase.com/image/upload/t_cb-default-original/c2mo4cwpadqyzqyebpuz,Changxin New Bridge,$6B,$2B
142,United States,North America,Bank of America,https://www.crunchbase.com/organization/icapital-network,https://images.crunchbase.com/image/upload/t_cb-default-original/dczgjx0grub6crar5txi,iCapital Network,$6B,$729M
143,China,Asia,Guangzhou Automobile Group,https://www.crunchbase.com/organization/didi-woya,https://images.crunchbase.com/image/upload/t_cb-default-original/zkbw7t38grq5w6hufcwy,Didi Woya,$6B,$1B
144,India,Asia,Serum Life Sciences,https://www.crunchbase.com/organization/biocon-biologics-india-ltd,https://images.crunchbase.com/image/upload/t_cb-default-original/smz5wwx0ngopvlitidtd,Biocon Biologics,$6B,$632M
145,United States,North America,"Elad Gil, Lux Capital",https://www.crunchbase.com/organization/applied-intuition,https://images.crunchbase.com/image/upload/t_cb-default-original/kfu2guekbhoqo6azq7ws,Applied Intuition,$6B,$602M
146,United States,North America,General Catalyst,https://www.crunchbase.com/organization/commure,https://images.crunchbase.com/image/upload/t_cb-default-original/orr7fcoylfaljoknqgua,Commure,$6B,$621M
147,United States,North America,Lightspeed Venture Partners,https://www.crunchbase.com/organization/raintank,https://images.crunchbase.com/image/upload/t_cb-default-original/pbsqk9qpuw75qygs4fo6,Grafana Labs,$6B,$805M
148,Hong Kong,Asia,Futureverse,https://www.crunchbase.com/organization/animoca-brands-corporation,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Animoca Brands,$6B,$811M
149,United States,North America,Dragoneer Investment Group,https://www.crunchbase.com/organization/lyra-health,https://images.crunchbase.com/image/upload/t_cb-default-original/b3h5nhkglsrvuhhzg5tw,Lyra Health,$6B,$910M
150,United States,North America,SoftBank,https://www.crunchbase.com/organization/cityblock-health,https://images.crunchbase.com/image/upload/t_cb-default-original/pzaknl9h8npib3jvnxwj,Cityblock Health,$6B,$891M
151,United States,North America,Battery Ventures,https://www.crunchbase.com/organization/workato,https://images.crunchbase.com/image/upload/t_cb-default-original/gnyn6v2bsqfmpoycrtkf,Workato,$6B,$415M
152,United States,North America,TPG,https://www.crunchbase.com/organization/vice,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Vice Media,$6B,$1B
153,France,Europe,Sprints,https://www.crunchbase.com/organization/back-market,https://images.crunchbase.com/image/upload/t_cb-default-original/n32mrkaqplug9bzvh2yf,Back Market,$6B,$1B
154,Finland,Europe,BP,https://www.crunchbase.com/organization/relex,https://images.crunchbase.com/image/upload/t_cb-default-original/ll1qruerxzrg9gbqvi5r,RELEX Solutions,$6B,$803M
155,United States,North America,Insight Partners,https://www.crunchbase.com/organization/postman,https://images.crunchbase.com/image/upload/t_cb-default-original/z8zb2smxpm2idu5anl2h,Postman,$6B,$433M
156,United States,North America,Andreessen Horowitz,https://www.crunchbase.com/organization/fivetran,https://images.crunchbase.com/image/upload/t_cb-default-original/mmhosuxvz2msbiieekl3,Fivetran,$6B,$728M
157,France,Europe,Sixth Street,https://www.crunchbase.com/organization/content-square,https://images.crunchbase.com/image/upload/t_cb-default-original/f6lrzm0gezg2dnzajbr1,Contentsquare,$6B,$1B
158,China,Asia,Bank of China Group Investment,https://www.crunchbase.com/organization/svolt,https://images.crunchbase.com/image/upload/t_cb-default-original/dttqoda1zhenf0pdsvoz,SVOLT,$6B,$3B
159,Germany,Europe,EQT,https://www.crunchbase.com/organization/mambu,https://images.crunchbase.com/image/upload/t_cb-default-original/dplk7wf7pqqptzdwnyqg,Mambu,$6B,$448M
160,Australia,Oceania,"Sequoia Capital China, Square Peg Capital",https://www.crunchbase.com/organization/airwallex,https://images.crunchbase.com/image/upload/t_cb-default-original/gn0p9mvokm6iy38ztx4v,Airwallex,$6B,$902M
161,Canada,North America,PSP Investments,https://www.crunchbase.com/organization/cohere-82b8,https://images.crunchbase.com/image/upload/t_cb-default-original/vkgyvi6nfdngf8rgiai7,Cohere,$6B,$935M
